iter	Passed	Remaining
401	13673	3333
402	13707	3299
403	13737	3264
404	13780	3232
405	13811	3197
406	13845	3163
407	13874	3128
408	13908	3094
409	13943	3060
410	13980	3027
411	14013	2993
412	14044	2958
413	14074	2923
414	14113	2890
415	14149	2857
416	14186	2823
417	14220	2789
418	14248	2754
419	14282	2720
420	14318	2686
421	14348	2652
422	14379	2617
423	14415	2583
424	14445	2549
425	14474	2514
426	14502	2479
427	14536	2445
428	14565	2410
429	14596	2376
430	14632	2342
431	14662	2307
432	14696	2274
433	14733	2240
434	14767	2206
435	14801	2172
436	14840	2139
437	14879	2106
438	14910	2071
439	14954	2039
440	14982	2004
441	15023	1971
442	15053	1936
443	15082	1902
444	15123	1869
445	15156	1835
446	15201	1802
447	15241	1769
448	15273	1734
449	15305	1700
450	15337	1666
451	15373	1632
452	15403	1598
453	15439	1564
454	15470	1530
455	15510	1496
456	15544	1462
457	15573	1428
458	15605	1393
459	15638	1359
460	15674	1326
461	15706	1291
462	15748	1258
463	15791	1225
464	15822	1190
465	15867	1157
466	15912	1124
467	15943	1090
468	15986	1056
469	16016	1022
470	16049	988
471	16081	953
472	16117	920
473	16154	886
474	16188	852
475	16216	817
476	16253	783
477	16284	749
478	16321	715
479	16350	681
480	16381	647
481	16417	613
482	16475	579
483	16506	545
484	16534	511
485	16576	477
486	16608	443
487	16642	409
488	16678	375
489	16708	340
490	16740	306
491	16776	272
492	16813	238
493	16848	204
494	16894	170
495	16923	136
496	16957	102
497	17001	68
498	17044	34
499	17076	0
