iter	Accuracy	Logloss
349	0.8452254171	0.3419901971
350	0.8452254171	0.3417987846
351	0.8450479233	0.3415732694
352	0.8454029109	0.3414569192
353	0.8452254171	0.3413278923
354	0.8452254171	0.3413046255
355	0.8454029109	0.3411017865
356	0.8459353923	0.3408380294
357	0.8454029109	0.3407494747
358	0.8454029109	0.3405860596
359	0.8452254171	0.3404524095
360	0.8459353923	0.340116641
361	0.8462903798	0.3399601932
362	0.8466453674	0.3396856817
363	0.8471778488	0.3396120182
364	0.8471778488	0.3393537918
365	0.8473553426	0.3391859945
366	0.8471778488	0.3389599304
367	0.8468228612	0.3386764212
368	0.847000355	0.3384141406
369	0.8471778488	0.3383059487
370	0.8473553426	0.3380562973
371	0.8471778488	0.3378501548
372	0.8473553426	0.3377648113
373	0.8477103301	0.3375211884
374	0.8480653177	0.3374646687
375	0.8475328364	0.3373625233
376	0.8477103301	0.3370723023
377	0.847000355	0.3368923949
378	0.8473553426	0.3367451595
379	0.8473553426	0.3364209653
380	0.8475328364	0.336237581
381	0.8482428115	0.3360206249
382	0.8482428115	0.3359714547
383	0.8482428115	0.3359424324
384	0.8484203053	0.3359046176
385	0.8485977991	0.3357917894
386	0.8487752929	0.3355894795
387	0.8485977991	0.3352232508
388	0.8485977991	0.3349711223
389	0.8487752929	0.3347269953
390	0.8485977991	0.3344190704
391	0.8487752929	0.3341618796
392	0.8487752929	0.3339853284
393	0.8485977991	0.3338445038
394	0.8489527867	0.3336195499
395	0.8493077742	0.3334360762
396	0.8493077742	0.3331223281
397	0.8493077742	0.3330966331
398	0.849485268	0.3329935968
399	0.8498402556	0.3327018196
400	0.8501952432	0.3324981862
401	0.8501952432	0.3324843611
402	0.8501952432	0.3324362427
403	0.850372737	0.3322550817
404	0.850372737	0.3321276192
405	0.850372737	0.3319914511
406	0.8501952432	0.3316931451
407	0.850372737	0.331531359
408	0.8501952432	0.3314893293
409	0.8501952432	0.3314476395
410	0.8501952432	0.331294444
411	0.8500177494	0.3311360061
412	0.8498402556	0.3310172962
413	0.8501952432	0.330866585
414	0.8500177494	0.3305942701
415	0.8500177494	0.3304854164
416	0.850372737	0.3304412729
417	0.850372737	0.3302881739
418	0.850372737	0.3300929179
419	0.850372737	0.3299782643
420	0.8517926873	0.3297249725
421	0.851970181	0.329546637
422	0.8523251686	0.3292863697
423	0.8521476748	0.3290301397
424	0.8525026624	0.3287866164
425	0.8525026624	0.3284982101
426	0.85285765	0.3283517425
427	0.8525026624	0.3283154226
428	0.8523251686	0.3281764785
429	0.8525026624	0.3279326804
430	0.8525026624	0.3278294488
431	0.8535676251	0.3274609088
432	0.8535676251	0.327321378
433	0.8535676251	0.3272624561
434	0.8535676251	0.3271601852
435	0.8535676251	0.3270620088
436	0.8541001065	0.3268025989
437	0.8541001065	0.3266788891
438	0.8544550941	0.3264211033
439	0.8544550941	0.3260968103
440	0.8544550941	0.3259607849
441	0.8542776003	0.3256836538
442	0.8548100816	0.3254124623
443	0.8544550941	0.3253130041
444	0.8555200568	0.325000934
445	0.8562300319	0.324784691
446	0.8562300319	0.3246498557
447	0.8562300319	0.324522166
448	0.8564075257	0.3244160223
449	0.8562300319	0.3242320722
450	0.8562300319	0.3241785008
451	0.8564075257	0.323851068
452	0.8569400071	0.3236360097
453	0.8571175009	0.3236013864
454	0.8569400071	0.3234319499
455	0.8571175009	0.3232166563
456	0.8569400071	0.3231326191
457	0.8565850195	0.3229241322
458	0.8562300319	0.3228509778
459	0.8560525382	0.3227849039
460	0.8558750444	0.3226866502
461	0.8560525382	0.3225568299
462	0.8562300319	0.3224701126
463	0.8564075257	0.3223590187
464	0.8564075257	0.3222923535
465	0.8564075257	0.3222243581
466	0.8567625133	0.3221546715
467	0.8576499823	0.3220565579
468	0.8580049698	0.3219090124
469	0.8580049698	0.3218772857
470	0.8569400071	0.3216611796
471	0.8572949947	0.3214564627
472	0.8572949947	0.3214140868
473	0.8572949947	0.3212364286
474	0.8572949947	0.3211706108
475	0.8571175009	0.3210866081
476	0.8572949947	0.3209186946
477	0.8576499823	0.320827198
478	0.857827476	0.3207219251
479	0.8580049698	0.3206495271
480	0.8581824636	0.3205803038
481	0.8580049698	0.3205387902
482	0.8583599574	0.3204539581
483	0.8583599574	0.3204395381
484	0.8580049698	0.3202752155
485	0.8585374512	0.3200849655
486	0.8583599574	0.3199753735
487	0.8583599574	0.3198847197
488	0.8585374512	0.3196033968
489	0.8583599574	0.3194487392
490	0.858714945	0.3193558707
491	0.8590699326	0.3192738199
492	0.8590699326	0.3192200395
493	0.8590699326	0.319070634
494	0.8588924388	0.3189327562
495	0.8588924388	0.3186635935
496	0.8588924388	0.3185131495
497	0.8588924388	0.3184128102
498	0.8596024139	0.3182878953
499	0.8592474263	0.3180693339
