date,location,river,basin,latitude,longitude,elevation_m,DHM Station ,precipitation_mm,soil_moisture_0_100cm_m3m3,rain_mm,temperature_mean_c,dew_point_mean_c,precipitation_hours,relative_humidity_mean_pct,wind_speed_max_kmh,wind_gusts_max_kmh,wind_direction_dominant_deg,river_discharge_m3s
05-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.224,12.4,9.7,85,8.6,20.9,256,12.03
05-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.27,10.3,8.4,89,9.5,19.8,293,0.3
05-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.419,11.3,-1.1,42,8,13.7,89,18.41
05-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.235,14.2,8.2,68,6.5,17.6,329,0.25
05-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.288,10.6,7.4,82,9.4,21.6,41,0.3
05-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.241,11.9,6.1,70,8.3,16.9,277,0.89
05-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.203,10.2,0.3,53,8.3,24.1,212,0
05-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.117,11.5,8.1,81,8.5,24.5,316,22.12
05-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,10.1,-10.2,26,7.4,69.8,54,0.2
06-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.31,13.6,0.5,43,5.5,23,92,0.95
06-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.22,12.7,9.9,84,10.6,23.8,252,12
06-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.271,10.2,8.6,90,11,23.4,294,0.3
06-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.418,12,-1.3,40,6.4,15.1,83,18.23
06-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.236,14.3,9.4,73,5.9,17.6,315,0.25
06-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.289,10.5,8,85,6.9,23.4,43,0.3
06-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.241,13,7.8,73,12.8,26.3,249,0.87
06-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.204,11.5,0.6,49,9,25.9,169,0
06-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.113,11.6,8.6,83,8.7,24.5,320,22.01
06-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,10.4,-14.2,19,6.9,55.8,85,0.2
07-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.305,12.1,-0.4,44,7.1,21.6,85,0.94
07-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.216,11.8,9.2,85,10.1,24.5,251,12
07-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.271,9.8,7.9,89,10.2,16.6,286,0.3
07-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.425,12.9,-0.9,39,5.9,11.5,68,17.97
07-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.241,14.6,8.6,68,5.6,16.6,325,0.25
07-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.29,10.9,7,78,7.4,20.9,48,0.3
07-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.243,11.8,7.2,76,8.1,19.4,238,0.87
07-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.202,12.4,-2.9,37,9.3,26.6,174,0
07-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.109,12,8.4,80,6.9,20.5,322,21.96
07-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,12.3,-13.2,18,9.4,59,161,0.19
08-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.299,12.8,-0.2,45,6,20.2,85,0.94
08-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.21,11.1,8.6,87,9.1,20.5,250,11.97
08-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.274,9.9,8.3,91,8.7,13.7,294,0.3
08-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.428,13.4,1.9,47,5,12.2,75,17.66
08-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.243,14.1,8.5,70,6.2,18.4,45,0.25
08-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.293,10.9,7.5,81,6.4,21.6,60,0.3
08-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.244,12.1,7.8,77,7,16.6,263,0.87
08-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.195,12.6,-2.9,36,7.3,18.7,177,0
08-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.11,11.7,7.9,79,6.5,20.5,348,21.86
08-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,12.7,-7.8,26,7.4,53.3,165,0.19
09-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.297,12.9,0.8,48,7.8,24.5,83,0.92
09-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.203,11.7,9,85,8.2,21.6,249,11.97
09-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.277,11,9.1,89,8.7,16.2,293,0.3
09-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.435,14.2,4.4,53,4.8,12.2,61,17.32
09-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.243,14.7,8.6,67,5.6,16.6,4,0.25
09-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.295,12.5,9.4,83,6.9,19.1,61,0.3
09-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.244,12.8,8.2,75,8.1,17.6,282,0.86
09-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.201,12.5,-0.7,43,8.1,22,186,0
09-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.112,13.3,9.3,79,7.1,21.2,331,21.8
09-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,14,-4.5,30,7.7,51.5,173,0.19
10-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.296,13.5,1.8,48,6.4,20.5,75,0.92
10-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.199,11.6,9.5,88,9.1,23.8,251,11.94
10-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.279,11.6,10,91,10.8,22.3,295,0.28
10-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.434,14.5,4,50,6.2,13.3,71,17.07
10-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.243,13.6,8.9,74,6.6,16.2,106,0.25
10-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.295,11.9,9.2,86,8.7,30.2,64,0.3
10-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.244,12.8,8.4,77,8.6,15.5,271,0.86
10-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.207,12.3,0.6,47,7.3,22.7,217,0
10-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.113,13.1,9.8,83,11.2,31.7,324,21.7
10-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,11.7,-3.6,37,10.1,65.2,141,0.19
11-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.295,12.3,3.5,58,6.6,25.6,65,0.91
11-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.202,11.9,10.1,89,9.1,21.6,260,11.94
11-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.279,10.2,8.9,92,6.2,15.1,360,0.28
11-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.436,14.3,2.4,46,5.6,13.3,50,16.82
11-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.244,13.2,8.5,73,5.8,18.4,291,0.25
11-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.297,11.6,9.8,89,7.8,25.9,96,0.28
11-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.248,12,7.9,77,11.9,25.6,285,0.86
11-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.215,11.5,2.4,56,7.1,20.2,182,0
11-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.117,12.9,9.4,80,7.8,22,126,21.59
11-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,14.3,-5.3,29,14.1,76.7,170,0.19
12-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.3,12.7,3.8,57,7.8,27.7,44,0.91
12-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.203,12.9,9.6,82,8.7,21.6,246,11.94
12-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.277,12.1,9.5,86,8.8,14,120,0.28
12-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0.5,0.5,3,0.432,14.1,5.6,58,6.2,18.4,41,16.7
12-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.247,13.9,8.3,70,5.9,16.9,59,0.25
12-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.296,13.8,9.1,75,8.7,24.1,53,0.28
12-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.25,12.9,7.6,72,8.4,17.3,302,0.85
12-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.222,11.2,2.6,58,6.5,18.4,210,0
12-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.123,13.9,7.8,70,8.5,24.1,347,21.54
12-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.312,14.3,-4.9,28,14.8,81.7,190,0.17
13-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.292,12.9,2.5,52,6.9,26.6,66,0.89
