date,season,competition,stage,team,opponent,venue,stadium,city,country,goals,assists,club_or_country,career_goals,career_assists,career_goal_contributions
2019-10-06,2019-20,La Liga,League Matchday,FC Barcelona,Sevilla,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,426,160,586
2019-10-19,2019-20,La Liga,League Matchday,FC Barcelona,Eibar,Away,Ipurua,Eibar,Spain,1,1,FC Barcelona,427,161,588
2019-10-23,2019-20,UEFA Champions League,Group,FC Barcelona,Slavia Prague,Away,Sinobo Stadium,Prague,Czech Republic,1,0,FC Barcelona,428,161,589
2019-10-29,2019-20,La Liga,League Matchday,FC Barcelona,Real Valladolid,Home,Camp Nou,Barcelona,Spain,2,2,FC Barcelona,430,163,593
2019-11-02,2019-20,La Liga,League Matchday,FC Barcelona,Levante,Away,Ciutat de Valencia,Valencia,Spain,1,0,FC Barcelona,431,163,594
2019-11-09,2019-20,La Liga,League Matchday,FC Barcelona,Celta Vigo,Home,Camp Nou,Barcelona,Spain,3,0,FC Barcelona,434,163,597
2019-11-15,2019,International Friendly,N/A,Argentina,Brazil,Neutral,King Saud University Stadium,Riyadh,Saudi Arabia,1,0,Argentina,435,163,598
2019-11-18,2019,International Friendly,N/A,Argentina,Uruguay,Neutral,Bloomfield Stadium,Tel Aviv,Israel,1,1,Argentina,436,164,600
2019-11-23,2019-20,La Liga,League Matchday,FC Barcelona,Leganes,Away,Butarque,Leganes,Spain,0,1,FC Barcelona,436,165,601
2019-11-27,2019-20,UEFA Champions League,Group,FC Barcelona,Borussia Dortmund,Home,Camp Nou,Barcelona,Spain,1,2,FC Barcelona,437,167,604
2019-12-01,2019-20,La Liga,League Matchday,FC Barcelona,Atletico Madrid,Away,Wanda Metropolitano,Madrid,Spain,1,0,FC Barcelona,438,167,605
2019-12-07,2019-20,La Liga,League Matchday,FC Barcelona,Mallorca,Home,Camp Nou,Barcelona,Spain,3,0,FC Barcelona,441,167,608
2019-12-14,2019-20,La Liga,League Matchday,FC Barcelona,Real Sociedad,Away,Reale Arena,San Sebastian,Spain,0,1,FC Barcelona,441,168,609
2019-12-21,2019-20,La Liga,League Matchday,FC Barcelona,Alaves,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,442,168,610
2020-01-09,2019-20,Supercopa de Espana,SF,FC Barcelona,Atletico Madrid,Neutral,King Abdullah Sports City,Jeddah,Saudi Arabia,1,0,FC Barcelona,443,168,611
2020-01-19,2019-20,La Liga,League Matchday,FC Barcelona,Granada,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,444,168,612
2020-01-30,2019-20,Copa del Rey,R16,FC Barcelona,Leganes,Home,Camp Nou,Barcelona,Spain,2,1,FC Barcelona,446,169,615
2020-02-02,2019-20,La Liga,League Matchday,FC Barcelona,Levante,Home,Camp Nou,Barcelona,Spain,0,2,FC Barcelona,446,171,617
2020-02-09,2019-20,La Liga,League Matchday,FC Barcelona,Real Betis,Away,Benito Villamarin,Seville,Spain,0,3,FC Barcelona,446,174,620
2020-02-15,2019-20,La Liga,League Matchday,FC Barcelona,Getafe,Home,Camp Nou,Barcelona,Spain,0,1,FC Barcelona,446,175,621
2020-02-22,2019-20,La Liga,League Matchday,FC Barcelona,Eibar,Home,Camp Nou,Barcelona,Spain,4,0,FC Barcelona,450,175,625
2020-03-07,2019-20,La Liga,League Matchday,FC Barcelona,Real Sociedad,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,451,175,626
2020-06-13,2019-20,La Liga,League Matchday,FC Barcelona,Mallorca,Away,Son Moix,Palma,Spain,1,2,FC Barcelona,452,177,629
2020-06-16,2019-20,La Liga,League Matchday,FC Barcelona,Leganes,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,453,177,630
2020-06-23,2019-20,La Liga,League Matchday,FC Barcelona,Athletic Bilbao,Home,Camp Nou,Barcelona,Spain,0,1,FC Barcelona,453,178,631
2020-06-27,2019-20,La Liga,League Matchday,FC Barcelona,Celta Vigo,Away,Balaidos,Vigo,Spain,0,2,FC Barcelona,453,180,633
2020-06-30,2019-20,La Liga,League Matchday,FC Barcelona,Atletico Madrid,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,454,180,634
2020-07-05,2020-21,La Liga,League Matchday,FC Barcelona,Villarreal,Away,Estadio de la Ceramica,Villarreal,Spain,0,2,FC Barcelona,454,182,636
2020-07-11,2020-21,La Liga,League Matchday,FC Barcelona,Real Valladolid,Away,Jose Zorrilla,Valladolid,Spain,0,1,FC Barcelona,454,183,637
2020-07-16,2020-21,La Liga,League Matchday,FC Barcelona,Osasuna,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,455,183,638
2020-07-19,2020-21,La Liga,League Matchday,FC Barcelona,Alaves,Away,Mendizorroza,Vitoria-Gasteiz,Spain,2,1,FC Barcelona,457,184,641
2020-08-08,2020-21,UEFA Champions League,R162L,FC Barcelona,Napoli,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,458,184,642
2020-09-27,2020-21,La Liga,League Matchday,FC Barcelona,Villarreal,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,459,184,643
2020-10-08,2020,CONMEBOL World Cup Qualifiers,N/A,Argentina,Ecuador,Home,Estadio Monumental,Buenos Aires,Argentina,1,0,Argentina,460,184,644
2020-10-20,2020-21,UEFA Champions League,Group,FC Barcelona,Ferencvaros,Home,Camp Nou,Barcelona,Spain,1,1,FC Barcelona,461,185,646
2020-10-28,2020-21,UEFA Champions League,Group,FC Barcelona,Juventus,Away,Allianz Stadium,Turin,Italy,1,1,FC Barcelona,462,186,648
2020-11-04,2020-21,UEFA Champions League,Group,FC Barcelona,Dynamo Kyiv,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,463,186,649
2020-11-07,2020-21,La Liga,League Matchday,FC Barcelona,Real Betis,Home,Camp Nou,Barcelona,Spain,2,0,FC Barcelona,465,186,651
2020-11-29,2020-21,La Liga,League Matchday,FC Barcelona,Osasuna,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,466,186,652
2020-12-13,2020-21,La Liga,League Matchday,FC Barcelona,Levante,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,467,186,653
2020-12-19,2020-21,La Liga,League Matchday,FC Barcelona,Valencia,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,468,186,654
2020-12-22,2020-21,La Liga,League Matchday,FC Barcelona,Real Valladolid,Away,Jose Zorrilla,Valladolid,Spain,1,1,FC Barcelona,469,187,656
2021-01-03,2020-21,La Liga,League Matchday,FC Barcelona,Huesca,Away,El Alcoraz,Huesca,Spain,0,1,FC Barcelona,469,188,657
2021-01-06,2020-21,La Liga,League Matchday,FC Barcelona,Athletic Bilbao,Away,San Mames,Bilbao,Spain,2,0,FC Barcelona,471,188,659
2021-01-09,2020-21,La Liga,League Matchday,FC Barcelona,Granada,Away,Nuevo Los Carmenes,Granada,Spain,2,0,FC Barcelona,473,188,661
2021-01-27,2020-21,Copa del Rey,R16,FC Barcelona,Rayo Vallecano,Away,Vallecas,Madrid,Spain,1,0,FC Barcelona,474,188,662
2021-01-31,2020-21,La Liga,League Matchday,FC Barcelona,Athletic Bilbao,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,475,188,663
2021-02-03,2020-21,Copa del Rey,QF,FC Barcelona,Granada,Away,Nuevo Los Carmenes,Granada,Spain,0,1,FC Barcelona,475,189,664
2021-02-07,2020-21,La Liga,League Matchday,FC Barcelona,Real Betis,Away,Benito Villamarin,Seville,Spain,1,0,FC Barcelona,476,189,665
2021-02-13,2020-21,La Liga,League Matchday,FC Barcelona,Alaves,Home,Camp Nou,Barcelona,Spain,2,1,FC Barcelona,478,190,668
2021-02-16,2020-21,UEFA Champions League,R161L,FC Barcelona,Paris Saint-Germain,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,479,190,669
2021-02-21,2020-21,La Liga,League Matchday,FC Barcelona,Cadiz,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,480,190,670
2021-02-24,2020-21,La Liga,League Matchday,FC Barcelona,Elche,Home,Camp Nou,Barcelona,Spain,2,0,FC Barcelona,482,190,672
2021-02-27,2020-21,La Liga,League Matchday,FC Barcelona,Sevilla,Away,Ramon Sanchez Pizjuan,Seville,Spain,1,1,FC Barcelona,483,191,674
2021-03-06,2020-21,La Liga,League Matchday,FC Barcelona,Osasuna,Away,El Sadar,Pamplona,Spain,0,2,FC Barcelona,483,193,676
2021-03-10,2020-21,UEFA Champions League,R162L,FC Barcelona,Paris Saint-Germain,Away,Parc des Princes,Paris,France,1,0,FC Barcelona,484,193,677
2021-03-15,2020-21,La Liga,League Matchday,FC Barcelona,Huesca,Home,Camp Nou,Barcelona,Spain,2,1,FC Barcelona,486,194,680
2021-03-21,2020-21,La Liga,League Matchday,FC Barcelona,Real Sociedad,Away,Reale Arena,San Sebastian,Spain,2,1,FC Barcelona,488,195,683
2021-04-17,2020-21,Copa del Rey,Final,FC Barcelona,Athletic Bilbao,Neutral,Estadio La Cartuja,Seville,Spain,2,0,FC Barcelona,490,195,685
2021-04-22,2020-21,La Liga,League Matchday,FC Barcelona,Getafe,Home,Camp Nou,Barcelona,Spain,2,1,FC Barcelona,492,196,688
2021-04-29,2020-21,La Liga,League Matchday,FC Barcelona,Granada,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,493,196,689
2021-05-02,2020-21,La Liga,League Matchday,FC Barcelona,Valencia,Away,Mestalla,Valencia,Spain,2,0,FC Barcelona,495,196,691
2021-05-11,2020-21,La Liga,League Matchday,FC Barcelona,Levante,Away,Ciutat de Valencia,Valencia,Spain,1,0,FC Barcelona,496,196,692
2021-05-16,2020-21,La Liga,League Matchday,FC Barcelona,Celta Vigo,Home,Camp Nou,Barcelona,Spain,1,0,FC Barcelona,497,196,693
2021-06-03,2021,CONMEBOL World Cup Qualifiers,N/A,Argentina,Chile,Home,Estadio Monumental,Buenos Aires,Argentina,1,0,Argentina,498,196,694
2021-06-14,2021,Copa America,Group,Argentina,Chile,Neutral,Estadio Nilton Santos,Rio de Janeiro,Brazil,1,0,Argentina,499,196,695
2021-06-18,2021,Copa America,Group,Argentina,Uruguay,Neutral,Estadio Nacional Mane Garrincha,Brasilia,Brazil,0,1,Argentina,499,197,696
2021-06-28,2021,Copa America,Group,Argentina,Bolivia,Neutral,Arena Pantanal,Cuiaba,Brazil,2,1,Argentina,501,198,699
2021-07-03,2021,Copa America,QF,Argentina,Ecuador,Neutral,Estadio Olimpico Pedro Ludovico,Goiania,Brazil,1,2,Argentina,502,200,702
2021-07-07,2021,Copa America,SF,Argentina,Colombia,Neutral,Estadio Nacional Mane Garrincha,Brasilia,Brazil,0,1,Argentina,502,201,703
2021-09-10,2021,CONMEBOL World Cup Qualifiers,N/A,Argentina,Bolivia,Home,Estadio Monumental,Buenos Aires,Argentina,3,0,Argentina,505,201,706
2021-09-28,2021-22,UEFA Champions League,Group,Paris Saint-Germain,Manchester City,Home,Parc des Princes,Paris,France,1,0,PSG,506,201,707
2021-10-10,2021,CONMEBOL World Cup Qualifiers,N/A,Argentina,Uruguay,Home,Estadio Monumental,Buenos Aires,Argentina,1,0,Argentina,507,201,708
2021-10-19,2021-22,UEFA Champions League,Group,Paris Saint-Germain,RB Leipzig,Home,Parc des Princes,Paris,France,2,0,PSG,509,201,710
2021-11-20,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Nantes,Home,Parc des Princes,Paris,France,1,0,PSG,510,201,711
2021-11-28,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,St Etienne,Away,Stade Geoffroy-Guichard,Saint-Etienne,France,0,3,PSG,510,204,714
2021-12-07,2021-22,UEFA Champions League,Group,Paris Saint-Germain,Club Brugge,Home,Parc des Princes,Paris,France,2,0,PSG,512,204,716
2021-12-12,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Monaco,Home,Parc des Princes,Paris,France,0,1,PSG,512,205,717
2022-01-23,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Reims,Home,Parc des Princes,Paris,France,0,1,PSG,512,206,718
2022-02-06,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Lille,Away,Stade Pierre-Mauroy,Lille,France,1,1,PSG,513,207,720
2022-02-11,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Rennes,Home,Parc des Princes,Paris,France,0,1,PSG,513,208,721
2022-02-19,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Nantes,Away,Stade de la Beaujoire,Nantes,France,0,1,PSG,513,209,722
2022-02-26,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,St Etienne,Home,Parc des Princes,Paris,France,0,2,PSG,513,211,724
2022-03-26,2022,CONMEBOL World Cup Qualifiers,N/A,Argentina,Venezuela,Home,Estadio Monumental,Buenos Aires,Argentina,1,0,Argentina,514,211,725
2022-04-03,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Lorient,Home,Parc des Princes,Paris,France,1,0,PSG,515,211,726
2022-04-09,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Clermont Foot,Away,Stade Gabriel Montpied,Clermont-Ferrand,France,0,3,PSG,515,214,729
2022-04-23,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Lens,Home,Parc des Princes,Paris,France,1,0,PSG,516,214,730
2022-05-14,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Montpellier,Away,Stade de la Mosson,Montpellier,France,2,0,PSG,518,214,732
2022-05-21,2021-22,Ligue 1,League Matchday,Paris Saint-Germain,Metz,Home,Parc des Princes,Paris,France,0,1,PSG,518,215,733
2022-06-01,2022,CONMEBOL-UEFA Finalissima,Final,Argentina,Italy,Neutral,Wembley Stadium,London,England,0,2,Argentina,518,217,735
2022-06-05,2022,International Friendly,N/A,Argentina,Estonia,Neutral,Estadio El Sadar,Pamplona,Spain,5,0,Argentina,523,217,740
2022-07-31,2022-23,Trophee des Champions,Final,Paris Saint-Germain,Nantes,Neutral,Bloomfield Stadium,Tel Aviv,Israel,1,0,PSG,524,217,741
2022-08-06,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Clermont Foot,Away,Stade Gabriel Montpied,Clermont-Ferrand,France,2,1,PSG,526,218,744
2022-08-21,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Lille,Away,Stade Pierre-Mauroy,Lille,France,1,1,PSG,527,219,746
2022-08-31,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Toulouse,Away,Stadium de Toulouse,Toulouse,France,0,2,PSG,527,221,748
2022-09-03,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Nantes,Away,Stade de la Beaujoire,Nantes,France,0,2,PSG,527,223,750
2022-09-10,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Brest,Home,Parc des Princes,Paris,France,0,1,PSG,527,224,751
2022-09-14,2022-23,UEFA Champions League,Group,Paris Saint-Germain,Maccabi Haifa,Away,Sammy Ofer Stadium,Haifa,Israel,1,1,PSG,528,225,753
2022-09-18,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Lyon,Away,Groupama Stadium,Lyon,France,1,0,PSG,529,225,754
2022-09-23,2022,International Friendly,N/A,Argentina,Honduras,Neutral,Hard Rock Stadium,Miami Gardens,USA,2,0,Argentina,531,225,756
2022-09-27,2022,International Friendly,N/A,Argentina,Jamaica,Neutral,Red Bull Arena,Harrison,USA,2,0,Argentina,533,225,758
2022-10-01,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Nice,Home,Parc des Princes,Paris,France,1,0,PSG,534,225,759
2022-10-05,2022-23,UEFA Champions League,Group,Paris Saint-Germain,Benfica,Away,Estadio da Luz,Lisbon,Portugal,1,0,PSG,535,225,760
2022-10-21,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Ajaccio,Away,Stade Francois Coty,Ajaccio,France,1,2,PSG,536,227,763
2022-10-25,2022-23,UEFA Champions League,Group,Paris Saint-Germain,Maccabi Haifa,Home,Parc des Princes,Paris,France,2,2,PSG,538,229,767
2022-10-29,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Troyes,Home,Parc des Princes,Paris,France,1,1,PSG,539,230,769
2022-11-02,2022-23,UEFA Champions League,Group,Paris Saint-Germain,Juventus,Away,Allianz Stadium,Turin,Italy,0,1,PSG,539,231,770
2022-11-16,2022,International Friendly,N/A,Argentina,United Arab Emirates,Away,Zayed Sports City Stadium,Abu Dhabi,UAE,1,1,Argentina,540,232,772
2022-11-22,2022,FIFA World Cup,Group,Argentina,Saudi Arabia,Neutral,Lusail Stadium,Lusail,Qatar,1,0,Argentina,541,232,773
2022-11-26,2022,FIFA World Cup,Group,Argentina,Mexico,Neutral,Lusail Stadium,Lusail,Qatar,1,1,Argentina,542,233,775
2022-12-03,2022,FIFA World Cup,R16,Argentina,Australia,Neutral,Ahmad bin Ali Stadium,Al Rayyan,Qatar,1,0,Argentina,543,233,776
2022-12-09,2022,FIFA World Cup,QF,Argentina,Netherlands,Neutral,Lusail Stadium,Lusail,Qatar,1,1,Argentina,544,234,778
2022-12-13,2022,FIFA World Cup,SF,Argentina,Croatia,Neutral,Lusail Stadium,Lusail,Qatar,1,1,Argentina,545,235,780
2022-12-18,2022,FIFA World Cup,Final,Argentina,France,Neutral,Lusail Stadium,Lusail,Qatar,2,0,Argentina,547,235,782
2023-01-11,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Angers,Home,Parc des Princes,Paris,France,1,0,PSG,548,235,783
2023-02-01,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Montpellier,Away,Stade de la Mosson,Montpellier,France,1,0,PSG,549,235,784
2023-02-04,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Toulouse,Home,Parc des Princes,Paris,France,1,0,PSG,550,235,785
2023-02-19,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Lille,Home,Parc des Princes,Paris,France,1,0,PSG,551,235,786
2023-02-26,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Marseille,Away,Stade Velodrome,Marseille,France,1,2,PSG,552,237,789
2023-03-04,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Nantes,Home,Parc des Princes,Paris,France,1,0,PSG,553,237,790
2023-03-11,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Brest,Away,Stade Francis-Le Ble,Brest,France,0,1,PSG,553,238,791
2023-03-23,2023,International Friendly,N/A,Argentina,Panama,Home,Estadio Monumental,Buenos Aires,Argentina,1,0,Argentina,554,238,792
2023-03-28,2023,International Friendly,N/A,Argentina,Curacao,Home,Estadio Monumental,Buenos Aires,Argentina,3,1,Argentina,557,239,796
2023-04-08,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Nice,Away,Allianz Riviera,Nice,France,1,1,PSG,558,240,798
2023-04-15,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Lens,Home,Parc des Princes,Paris,France,1,0,PSG,559,240,799
2023-04-21,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Angers,Away,Stade Raymond Kopa,Angers,France,0,1,PSG,559,241,800
2023-05-21,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Auxerre,Away,Stade Abbe-Deschamps,Auxerre,France,0,1,PSG,559,242,801
2023-05-27,2022-23,Ligue 1,League Matchday,Paris Saint-Germain,Strasbourg,Away,Stade de la Meinau,Strasbourg,France,1,0,PSG,560,242,802
2023-06-15,2023,International Friendly,N/A,Argentina,Australia,Neutral,Workers Stadium,Beijing,China,1,0,Argentina,561,242,803
2023-07-21,2023,Leagues Cup,Group,Inter Miami CF,Cruz Azul,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,562,242,804
2023-07-25,2023,Leagues Cup,Group,Inter Miami CF,Atlanta United,Home,Chase Stadium,Fort Lauderdale,USA,2,1,Inter Miami CF,564,243,807
2023-08-02,2023,Leagues Cup,R32,Inter Miami CF,Orlando City,Home,Chase Stadium,Fort Lauderdale,USA,2,0,Inter Miami CF,566,243,809
2023-08-06,2023,Leagues Cup,R16,Inter Miami CF,FC Dallas,Away,Toyota Stadium,Frisco,USA,2,0,Inter Miami CF,568,243,811
2023-08-12,2023,Leagues Cup,QF,Inter Miami CF,Charlotte FC,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,569,243,812
2023-08-15,2023,Leagues Cup,SF,Inter Miami CF,Philadelphia Union,Away,Subaru Park,Chester,USA,1,0,Inter Miami CF,570,243,813
2023-08-19,2023,Leagues Cup,Final,Inter Miami CF,Nashville SC,Away,Geodis Park,Nashville,USA,1,0,Inter Miami CF,571,243,814
2023-08-23,2023,U.S. Open Cup,SF,Inter Miami CF,FC Cincinnati,Away,TQL Stadium,Cincinnati,USA,0,2,Inter Miami CF,571,245,816
2023-08-26,2023,Major League Soccer,League Matchday,Inter Miami CF,New York Red Bulls,Away,Red Bull Arena,Harrison,USA,1,0,Inter Miami CF,572,245,817
2023-09-03,2023,Major League Soccer,League Matchday,Inter Miami CF,LAFC,Away,BMO Stadium,Los Angeles,USA,0,2,Inter Miami CF,572,247,819
2023-09-07,2023,CONMEBOL World Cup Qualifiers,N/A,Argentina,Ecuador,Home,Estadio Monumental,Buenos Aires,Argentina,1,0,Argentina,573,247,820
2023-10-17,2023,CONMEBOL World Cup Qualifiers,N/A,Argentina,Peru,Away,Estadio Nacional,Lima,Peru,2,0,Argentina,575,247,822
2024-02-21,2024,Major League Soccer,League Matchday,Inter Miami CF,Real Salt Lake,Home,Chase Stadium,Fort Lauderdale,USA,0,1,Inter Miami CF,575,248,823
2024-02-25,2024,Major League Soccer,League Matchday,Inter Miami CF,LA Galaxy,Away,Dignity Health Sports Park,Carson,USA,1,0,Inter Miami CF,576,248,824
2024-03-02,2024,Major League Soccer,League Matchday,Inter Miami CF,Orlando City,Home,Chase Stadium,Fort Lauderdale,USA,2,0,Inter Miami CF,578,248,826
2024-03-07,2024,CONCACAF Champions Cup,R161L,Inter Miami CF,Nashville SC,Away,Geodis Park,Nashville,USA,1,0,Inter Miami CF,579,248,827
2024-03-13,2024,CONCACAF Champions Cup,R162L,Inter Miami CF,Nashville SC,Home,Chase Stadium,Fort Lauderdale,USA,1,1,Inter Miami CF,580,249,829
2024-04-06,2024,Major League Soccer,League Matchday,Inter Miami CF,Colorado Rapids,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,581,249,830
2024-04-10,2024,CONCACAF Champions Cup,QF2L,Inter Miami CF,Monterrey,Away,Estadio BBVA,Monterrey,Mexico,0,1,Inter Miami CF,581,250,831
2024-04-13,2024,Major League Soccer,League Matchday,Inter Miami CF,Sporting Kansas City,Away,Children's Mercy Park,Kansas City,USA,1,1,Inter Miami CF,582,251,833
2024-04-20,2024,Major League Soccer,League Matchday,Inter Miami CF,Nashville SC,Home,Chase Stadium,Fort Lauderdale,USA,2,1,Inter Miami CF,584,252,836
2024-04-27,2024,Major League Soccer,League Matchday,Inter Miami CF,New England,Away,Gillette Stadium,Foxborough,USA,2,1,Inter Miami CF,586,253,839
2024-05-04,2024,Major League Soccer,League Matchday,Inter Miami CF,New York Red Bulls,Home,Chase Stadium,Fort Lauderdale,USA,1,5,Inter Miami CF,587,258,845
2024-05-29,2024,Major League Soccer,League Matchday,Inter Miami CF,Atlanta United,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,588,258,846
2024-06-01,2024,Major League Soccer,League Matchday,Inter Miami CF,St. Louis,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,589,258,847
2024-06-14,2024,International Friendly,N/A,Argentina,Guatemala,Neutral,FedExField,Landover,USA,2,1,Argentina,591,259,850
2024-06-20,2024,Copa America,Group,Argentina,Canada,Neutral,Mercedes-Benz Stadium,Atlanta,USA,0,1,Argentina,591,260,851
2024-07-09,2024,Copa America,SF,Argentina,Canada,Neutral,MetLife Stadium,East Rutherford,USA,1,0,Argentina,592,260,852
2024-09-14,2024,Major League Soccer,League Matchday,Inter Miami CF,Philadelphia Union,Home,Chase Stadium,Fort Lauderdale,USA,2,1,Inter Miami CF,594,261,855
2024-09-29,2024,Major League Soccer,League Matchday,Inter Miami CF,Charlotte FC,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,595,261,856
2024-10-02,2024,Major League Soccer,League Matchday,Inter Miami CF,Columbus,Away,Lower.com Field,Columbus,USA,2,0,Inter Miami CF,597,261,858
2024-10-15,2024,CONMEBOL World Cup Qualifiers,N/A,Argentina,Bolivia,Home,Estadio Monumental,Buenos Aires,Argentina,3,2,Argentina,600,263,863
2024-10-19,2024,Major League Soccer,League Matchday,Inter Miami CF,New England,Home,Chase Stadium,Fort Lauderdale,USA,3,0,Inter Miami CF,603,263,866
2024-10-25,2024,MLS Cup Playoffs,R16,Inter Miami CF,Atlanta United,Home,Chase Stadium,Fort Lauderdale,USA,0,1,Inter Miami CF,603,264,867
2024-11-09,2024,MLS Cup Playoffs,R16,Inter Miami CF,Atlanta United,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,604,264,868
2024-11-19,2024,CONMEBOL World Cup Qualifiers,N/A,Argentina,Peru,Home,Estadio Monumental,Buenos Aires,Argentina,0,1,Argentina,604,265,869
2025-02-19,2025,CONCACAF Champions Cup,R321L,Inter Miami CF,Sporting Kansas City,Away,Children's Mercy Park,Kansas City,USA,1,0,Inter Miami CF,605,265,870
2025-02-22,2025,Major League Soccer,League Matchday,Inter Miami CF,New York City,Home,Chase Stadium,Fort Lauderdale,USA,0,2,Inter Miami CF,605,267,872
2025-02-25,2025,CONCACAF Champions Cup,R322L,Inter Miami CF,Sporting Kansas City,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,606,267,873
2025-03-13,2025,CONCACAF Champions Cup,R162L,Inter Miami CF,Cavalier,Away,Stadium East,Kingston,Jamaica,1,0,Inter Miami CF,607,267,874
2025-03-16,2025,Major League Soccer,League Matchday,Inter Miami CF,Atlanta United,Away,Mercedes-Benz Stadium,Atlanta,USA,1,0,Inter Miami CF,608,267,875
2025-03-29,2025,Major League Soccer,League Matchday,Inter Miami CF,Philadelphia Union,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,609,267,876
2025-04-07,2025,Major League Soccer,League Matchday,Inter Miami CF,Toronto,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,610,267,877
2025-04-09,2025,CONCACAF Champions Cup,QF2L,Inter Miami CF,LAFC,Home,Chase Stadium,Fort Lauderdale,USA,2,0,Inter Miami CF,612,267,879
2025-05-03,2025,Major League Soccer,League Matchday,Inter Miami CF,New York Red Bulls,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,613,267,880
2025-05-10,2025,Major League Soccer,League Matchday,Inter Miami CF,Minnesota,Away,Allianz Field,Saint Paul,USA,1,0,Inter Miami CF,614,267,881
2025-05-24,2025,Major League Soccer,League Matchday,Inter Miami CF,Philadelphia Union,Away,Subaru Park,Chester,USA,1,0,Inter Miami CF,615,267,882
2025-05-28,2025,Major League Soccer,League Matchday,Inter Miami CF,Montreal,Home,Chase Stadium,Fort Lauderdale,USA,2,1,Inter Miami CF,617,268,885
2025-05-31,2025,Major League Soccer,League Matchday,Inter Miami CF,Columbus,Home,Chase Stadium,Fort Lauderdale,USA,2,2,Inter Miami CF,619,270,889
2025-06-19,2025,FIFA Club World Cup,Group,Inter Miami CF,FC Porto,Neutral,Mercedes-Benz Stadium,Atlanta,USA,1,0,Inter Miami CF,620,270,890
2025-07-05,2025,Major League Soccer,League Matchday,Inter Miami CF,Montreal,Away,Stade Saputo,Montreal,Canada,2,1,Inter Miami CF,622,271,893
